CustomerID,OrderID,OrderDate,OrderAmount
C0103,O00001,2022-08-03,51.67
C0436,O00002,2023-09-24,40.54
C0349,O00003,2023-07-21,67.71
C0271,O00004,2022-01-27,85.04
C0107,O00005,2023-09-22,27.23
C0072,O00006,2022-08-19,157.97
C0189,O00007,2023-07-19,66.65
C0021,O00008,2022-11-17,40.65
C0103,O00009,2022-08-21,11.3
C0122,O00010,2023-11-01,27.29
C0467,O00011,2023-03-13,298.15
C0215,O00012,2023-06-17,36.4
C0331,O00013,2023-02-07,18.5
C0459,O00014,2022-02-22,61.74
C0088,O00015,2022-11-09,36.69
C0373,O00016,2022-10-08,3.58
C0100,O00017,2023-12-27,39.03
C0360,O00018,2022-01-31,78.55
C0152,O00019,2022-12-03,80.23
C0131,O00020,2022-07-02,44.09
C0150,O00021,2022-01-23,59.29
C0309,O00022,2023-06-28,336.73
C0258,O00023,2023-03-22,47.38
C0344,O00024,2022-03-15,29.87
C0492,O00025,2022-01-10,27.9
C0414,O00026,2023-04-29,61.21
C0294,O00027,2023-04-01,142.51
C0386,O00028,2023-07-20,23.07
C0192,O00029,2023-07-18,123.55
C0444,O00030,2023-10-22,2.14
C0277,O00031,2022-06-09,54.29
C0161,O00032,2022-01-14,149.55
C0460,O00033,2022-06-27,41.36
C0314,O00034,2023-02-16,82.95
C0022,O00035,2022-02-22,22.94
C0253,O00036,2023-02-12,135.48
C0236,O00037,2022-01-22,5.37
C0345,O00038,2022-01-30,191.42
C0049,O00039,2023-12-04,22.09
C0475,O00040,2022-09-17,207.46
C0059,O00041,2022-07-24,43.47
C0170,O00042,2022-02-28,128.26
C0476,O00043,2023-04-16,38.45
C0188,O00044,2023-04-11,236.35
C0464,O00045,2022-01-12,13.54
C0271,O00046,2023-09-23,19.66
C0190,O00047,2022-10-17,67.93
C0446,O00048,2022-12-20,8.55
C0175,O00049,2023-10-01,21.81
C0446,O00050,2022-03-16,287.82
C0051,O00051,2023-12-17,375.03
C0364,O00052,2023-07-15,47.2
C0055,O00053,2023-08-14,256.77
C0244,O00054,2023-03-17,78.71
